IP,RTT1,RTT2,RTT3,Domain Name,Date,Hop Number,Run Number,AS Number,AS Name
172.31.160.1,0.663ms,0.629ms,0.430ms,www.google.com,25-Nov,1,4,NA,NA
172.20.10.1,2.917ms,3.128ms,3.064ms,www.google.com,25-Nov,2,4,NA,NA
107.243.2.7,30.773ms,*,55.545ms,www.google.com,25-Nov,3,4,NA,NA
142.251.233.221,76.240ms,47.256ms,45.187ms,www.google.com,25-Nov,14,4,15169,"GOOGLE, US"
172.217.5.4,69.320ms,37.346ms,45.464ms,www.google.com,25-Nov,16,4,15169,"GOOGLE, US"
172.31.160.1,0.492ms,0.385ms,0.335ms,www.google.com,25-Nov,1,5,NA,NA
172.20.10.1,2.999ms,2.324ms,2.147ms,www.google.com,25-Nov,2,5,NA,NA
107.243.2.7,59.606ms,*,43.150ms,www.google.com,25-Nov,3,5,NA,NA
172.217.5.4,42.221ms,36.723ms,44.527ms,www.google.com,25-Nov,14,5,15169,"GOOGLE, US"
172.31.160.1,0.624ms,0.504ms,0.474ms,www.google.com,25-Nov,1,6,NA,NA
172.20.10.1,3.403ms,2.695ms,2.611ms,www.google.com,25-Nov,2,6,NA,NA
107.243.2.7,58.049ms,*,29.192ms,www.google.com,25-Nov,3,6,NA,NA
142.251.60.22,61.287ms,48.353ms,33.331ms,www.google.com,25-Nov,12,6,15169,"GOOGLE, US"
142.251.233.221,54.899ms,47.342ms,50.052ms,www.google.com,25-Nov,14,6,15169,"GOOGLE, US"
172.217.5.4,64.730ms,34.570ms,38.934ms,www.google.com,25-Nov,16,6,15169,"GOOGLE, US"
172.31.160.1,0.496ms,0.315ms,0.097ms,www.linkedin.com,25-Nov,1,1,NA,NA
172.20.10.1,9.967ms,2.400ms,1.952ms,www.linkedin.com,25-Nov,2,1,NA,NA
107.243.2.7,38.145ms,*,71.534ms,www.linkedin.com,25-Nov,3,1,NA,NA
32.141.192.2,93.647ms,58.990ms,47.482ms,www.linkedin.com,25-Nov,10,1,7018,"ATT-INTERNET4, US"
172.31.160.1,0.702ms,0.522ms,0.594ms,www.linkedin.com,25-Nov,1,2,NA,NA
